アイテム名,ブランド,サプリ名,ブランド国,味,価格（税込）,価格タグ,使用回数（目安）,カロリー,脂質,炭水化物,タンパク質,画像ＵＲＬ,公式ＵＲＬ
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,チョコレートスムーズ,2290,公式ＨＰ,33,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,チョコレートスムーズ,4690,公式ＨＰ,83,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,チョコレートスムーズ,1290,公式ＨＰ,17,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,ナチュラルストロベリー,2290,公式ＨＰ,33,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,ナチュラルストロベリー,4690,公式ＨＰ,83,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,ナチュラルストロベリー,1290,公式ＨＰ,17,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,ノンフレーバー,2290,公式ＨＰ,33,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,ノンフレーバー,4690,公式ＨＰ,83,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,ノンフレーバー,1290,公式ＨＰ,17,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
プロテイン,MYPROTEIN,ソイ プロテイン アイソレート,海外,バニラ,4690,公式ＨＰ,83,108,0.5,0.5,27,"<a href=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image""><img src=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" class=""http-image"" alt=""https://s1.thcdn.com/productimg/1600/1600/10529701-3534620651125286.jpg"" /></a>",https://www.myprotein.jp/
